timestamp,title,brand,description,initial_price,final_price,currency,availability,reviews_count,categories,asin,number_of_sellers,root_bs_rank,answered_questions,url,image_url,item_weight,rating,product_dimensions,seller_id,discount,model_number,manufacturer,department,plus_content,top_review,features,ingredients,bought_past_month,is_available,badge,discount_percentage,quality_score
2024-02-04 00:00:00.000,"TWINSLUXES Solar Post Cap Lights Outdoor - Waterproof LED Fence Post Solar Lights for 3.5x3.5/4x4/5x5 Wood Posts in Patio, Deck or Garden Decoration 4 Pack",TWINSLUXES,"Solar Post Cap Lights Waterproof LED Fence Post Solar Lights for ""3.5x3.5"" ""4x4"" ""5x5"" Wooden Posts. FEATURES & DETAILS   Product Specification Material: ABS Power Source: Solar-powered Lumens: 20 Lumens Color temperature: 3000k Light color: warm white LED: SMD 2835 0.5W *1 PCS Waterproof level: IP65 Battery: 600mah batteries Package Contents 1 x Solar post light 1 x Instruction Manual 1 x Installing Screw Set PERFECT FIT Fits wooden posts,vinyl posts or PVC posts The fence post lights solar powered is flexible and ingenious designed that this solar fence post lights can be easily installed on different inches of wooden or PVC vinyl columns. Ideal for patio, deck and garden decoration practical and beautiful Warm white LED makes the solar fence post lights well at night. How do solar deck post lights work? It’s very simple. You mount post lights solar powered on posts that you stake into the ground, and during the day the solar panel atop of the lights collects rays from the sun, charging the battery within so that energy can be utilized as light when it gets dark. The solar fence post lights 4x4 have an internal light sensor so that this deck lights can turn on automatically at dusk, and off at dawn. How to use solar post lights？ Quick and easy Do It Yourself installation. Easy screw-down installation, all you have to do is mark a couple holes, and drill down to stabilize the fence post solar lights. Plastic housing and lens, both are waterproof and will withstand all weather conditions.     TWINSLUXES, developed since 1986, is a professional manufacturer of solar lights, with CCC, CQC, CE, SAA, UL, GS, ROHS, REACH, PAHS and other international authoritative quality certifications TWINSLUXES Solar Post Lights Outdoor In the Darkness If the surrounder of the solar post cap is full of artificial light on night, that it will not turn on. Because these post cap solar lights depend on the weak light to determine whether it is nighttime or not. So you'd better moving fence solar lights to darker areas. Cleaning Dirty Solar Panels The solar panels will collect dirt and grime over time, then they can not receive sunlight efficiently as before. Remove any debris that has collected with a smooth wet cloth. If the 4x4 post solar lights doesn't light up,check whether the battery is fixed and whether the battery is normal Be sure the post cap lights is in a relatively sunny location. 30 days free return   The deck post lights are beautiful, exquisite and practical. Unique appearance post solar lights, with warm and comfortable light, suit your deck post. It also enriches the mood for night walking and provides convenience.       Unique Outdoor Decoration   The Designed Glass Ball   Turn It ""ON""/ ""OFF""       DIY Installation outdoor solar lights effective IP44 waterproof and heat-resistant . You can install on wood,post, in patio, deck,mailbox or garden . Even in the daytime, it is the best decoration. High Efficiency Reflector TWINSLUXES solar fence post light are of high transmittance. Has a unique appearance and distinctive crack effect Automatically turns on at dusk, off at dawn. Solar Powered The top polysilicon solar panel uses the natural power of the sun to charge the internal 1.2v Ni-MH AA rechargeable battery. No extra wiring required, and the brilliant LEDs are long lasting and energy efficient. Solar Pathway Lights Color Changing Solar Post Cap Lights Outdoor Flickering Flame for 3.5x3.5/4x4/5x5 Yard Deck Solar Garden Lights Outdoor Twinsluxes 2 Color modes Solar Post Lights for 3.5x3.5/4x4/5x5 and larger size Solar Garden Lights Outdoor Size Conventional 3.5x3.5/4x4/5x5 Conventional 3.5x3.5/4x4/5x5 and larger size Conventional Brightness 15lm 15lm 10lm 25lm 15lm Waterproof Grade IP44 IP44 IP44 IP44 IP44 Applicable scene Pathway/Sidewalk/ Lawn/Patio/Yard Post/Deck/Fence/Dock/Garden/ Patio/ Gate/ Pathway/Sidewalk/ Lawn/Patio/Yard Post/Deck/Fence/Dock/Garden/ Patio/ Gate/ Pathway/Sidewalk/ Lawn/Patio/Yard Color Cold Light/Color Changing Flame flicker Warm/Cold Light White light/Warm light Warm/Cold Light",4335,2947,INR,In Stock,3178,"['Tools & Home Improvement', 'Lighting & Ceiling Fans', 'Outdoor Lighting', 'Post Lights']",B07V5LK5J3,1.0,38723.0,0,https://www.amazon.com/Solar-Post-Cap-Lights-Outdoor/dp/B07V5LK5J3?th=1&psc=1&currency=USD&language=en_GB,https://m.media-amazon.com/images/I/71kCgl9yzzL.__AC_SY445_SX342_QL70_FMwebp_.jpg,2.114 kg,4.2,"2.05""L x 2.05""W x 2.13""H",A32T2M1BDX55RN,32,PL-Black,TWINSLUXES,Tools & Home Improvement,True,These lovely solar lights not only light your space with a warm white light but the also cast elegant shadows.  Super easy to install!,"[""QUICK AND EASY INSTALLATIONOur solar post cap lights are designed with simple installation in mind. Mounting your lights is quick and easy. Our solar fence lights come with pre-drilled holes and screws, making it easy for anyone to install them within minutes. No wiring or electricity is needed, so you can skip the hassle and expense of hiring an electrician. Simply install the base on the post or column, and then attach the deck lights to the base to complete the installation."",""EXCELLENT WEATHER RESISTANCE&LONG SERVICE LIFELooking for a solar post lights outdoor that can stand up to wet and rainy conditions? Look no further than our IP44 water-resistant fence post! Our solar post cap lights are designed with durability in mind. They are built to withstand even the most extreme weather conditions, including rain, snow, and even hail. The fence post solar lights are sealed tightly to prevent any water from seeping in, ensuring that they will continue to function perfectly, even during heavy downpours."",""EXTREMELY COST-EFFECTIVE&PRACTICALOur practical solar post cap lights, suitable for 3.5x3.5in, 4x4in, and 5x5in. Whether you have a wood or polyethylene fence, deck, or patio, our solar post cap lights are the perfect addition to your outdoor living space. In addition to their practicality, our solar deck post lights are also eco-friendly and energy-efficient. With a built-in solar panel that charges during the day and turns on automatically at night.The lights can be on for 8-12 hours,you'll save on electricity costs while still enjoying the beauty and convenience of outdoor lighting."",""UNIQUE BEAUTIFUL PATTERNOur stunning 4x4 solar post cap lights with beautiful patterns of cracked glass! These solar lamp post light are not just a practical addition to your deck or patio, but they also add a touch of elegance and style to your outdoor decor. The unique cracked glass design creates a mesmerizing pattern of light and shadow, casting a warm and inviting glow that is sure to impress you and your family, friends, neighbors."",""SERVICE - 100% brand-new, excellent quality. We support 30-days worry-free refund. If you have any problems with this post light, please contact us and we will deal in 24 hours. Hope to light your patio and life.""]",No Info available,0,False,,32.01845444059977,0.5809495282006578
2024-06-09 00:00:00.000,"Accutire MS-4021B Digital Tire Pressure Gauge with 4 Valve Caps, 5-150psi (psi, bar, kPa, kg/cm2)",Accutire,"About this item Heavy duty construction and rugged design for long lasting use Angled head and rubber coated handle for easy gripping Large, easy-to-read backlit LCD display; Easily switch between psi, bar, kPa, kg/cm2 Equipped with an automatic shut off to conserve battery life Accurate to within 0.5 PSI, reading air pressure from 5-150 PSI in 0.5 pound increments; Includes replaceable Alkaline LR44 1.5V coin cell batteries",155,155,INR,In Stock,8034,"['Automotive', 'Tools & Equipment', 'Tire & Wheel Tools', 'Tire Repair Tools']",B00080QHMM,1.0,4176.0,0,https://www.amazon.com/dp/B00080QHMM?th=1&psc=1&currency=USD&language=en_GB,https://m.media-amazon.com/images/I/41UbPFLOVkL._SY445_SX342_QL70_FMwebp_.jpg,0.023 kg,4.4,6.7 x 2.4 x 0.8 inches; 0.8 ounces,A1J9XHX48UC47C,0,MS-4021B,Accutire,Automotive,True,"My original Accutire MS-4021B worked well for a good 5+ years. Not sure if the batteries finally died or the electronics failed. Anyway, tried a number of cheepy (<$10) digital gauges. The readings varied wildly from tire to tire and brand to brand. Gave up and finally got a JACO Digital ElitePro. Works great. Soon after I spotted this Accutire gauge on Amazon for much less than the big box retailers and auto parts stores. Figured it can't hurt to have a couple of reliable tire pressure gauges in the glove box! The readings are consistent and almost the same (+- .5 lb.) as the ElitePro. The Accutire MS-4021B is a good value, reasonably accurate and easy to read gauge.","[""Heavy duty construction and rugged design for long lasting use"",""Angled head and rubber coated handle for easy gripping"",""Large, easy-to-read backlit LCD display; Easily switch between psi, bar, kPa, kg/cm2"",""Equipped with an automatic shut off to conserve battery life"",""Accurate to within 0.5 PSI, reading air pressure from 5-150 PSI in 0.5 pound increments; Includes replaceable Alkaline LR44 1.5V coin cell batteries""]",No Info available,400,True,,0.0,0.6785925507050998
2024-01-16 00:00:00.000,SAURA LIFE SCIENCE Adivasi Ayurvedic Neelgiri Hair growth Hair Oil-250ML (2),SAURA LIFE SCIENCE,"This extraordinary fusion is designed to nourish, strengthen, and rejuvenate your hair, bringing it into profound harmony with the forces of nature. For centuries, Adivasi communities have held the key to nature's secret beauty rituals, and now, we invite you to unlock these ancient mysteries. Allow your hair to luxuriate in the rich traditions of the Adivasi people, as they have woven their wisdom into this time-honored, transcendent elixir. BENEFITS. 1 Reduces hair fall 2 Boosts hair growth 3 Moisturizes hair breakage 4 Moisturizes scalp 5 Adds shine to hair strands",1299,799,INR,In stock,5,"['Beauty', 'Hair Care', 'Hair Oils']",B0CNZ6ZV14,1.0,5373.0,0,https://www.amazon.in/SAURA-LIFE-SCIENCE-Ayurvedic-Oil-250ML/dp/B0CNZ6ZV14?th=1&psc=1&currency=USD&language=en_GB,https://m.media-amazon.com/images/I/31hYnlXSpeL._SX300_SY300_QL70_FMwebp_.jpg,0.399 kg,5.0,5 x 2 x 2 cm; 399 Grams,A2I00EBEBYMKDS,38,P-1200,SAURA LIFE SCIENCE - INDIA,Beauty,False,So best product for hair health.,"[""BENEFITS. 1 Reduces hair fall 2 Boosts hair growth 3 Moisturizes hair breakage 4 Moisturizes scalp 5 Adds shine to hair strands"",""Powerful plus is best formulated ayurvedic hair oil in India. The powerful blend of 101 rare herbs including Neelambari, Bringraj, Amla, Aloevera, Tulsi, Helps in controlling hair loss"",""No Side Effect."",""Usage-Smoothens Hair,Repairs Hair,Hydrates Dry Hair,Prevent Fizziness"",""Package Contains-250ML""]",No,0,False,,38.49114703618168,0.1536635871975929
2023-09-10 00:00:00.000,"KASOTT Replacement Airpod Pro Ear Tip Premium Memory Foam Earbud Tips, Perfect Noise Reduction, Ultra-Comfort, Anti-Slip Eartips, Fit in The Charging Case (Sizes M, 3 Pairs)",KASOTT,"About this item [ Exclusive Customization ] Made specifically for Apple AirPods Pro 1st and 2nd generation, memory foam earbuds don't interfere with charging, provide a great sound experience, and adapt to the shape of your ear, making them suitable for different people. [ Premium Material ] The memory foam material has excellent texture and can slowly rebound when pressed, which fits the contour of your ear and better adapts to changes in the environment, providing you with a more comfortable experience. [ Good Noise Reduction ] This headphone plug can block external sound interference very well. You can immerse yourself in your own world without worrying about being disturbed by others, and enjoy watching movies and listening to music more happily. [ Small Appearance and Simple Installation ] This Apple AirPods Pro ear tip is relatively small and cute, and there is a storage box to place it. The snap-on design is simple and easy to understand. Just snap it into the headset for easy installation. [ Specifications and After Sales ] You will get 3 pairs of ear tips from us, you can choose the size you like, if you have any questions feel free to contact us, we are always there.",1550,1550,INR,In Stock,67,"['Electronics', 'Headphones, Earbuds & Accessories', 'Earpads']",B0BGSF52LR,3.0,48853.0,0,https://www.amazon.com/KASOTT-Replacement-Reduction-Ultra-Comfort-Anti-Slip/dp/B0BGSF52LR,https://m.media-amazon.com/images/I/51PJLJF3tIL.__AC_SX300_SY300_QL70_FMwebp_.jpg,0.018 kg,4.3,0.52 x 0.47 x 0.31 inches,A13TBHXCQKF5I1,13,Medium,DGHJSX,Electronics,False,"My problem was the tips that come with AirPods2 Pro are made of silicon and while sound is good, the pods kept on slipping out of my ears. These tips have a feeling of foam and so far secure the pods in my ears. Noise cancellation is improved.","[""[ Exclusive Customization ] Made specifically for Apple AirPods Pro 1st and 2nd generation, memory foam earbuds don't interfere with charging, provide a great sound experience, and adapt to the shape of your ear, making them suitable for different people."",""[ Premium Material ] The memory foam material has excellent texture and can slowly rebound when pressed, which fits the contour of your ear and better adapts to changes in the environment, providing you with a more comfortable experience."",""[ Good Noise Reduction ] This headphone plug can block external sound interference very well. You can immerse yourself in your own world without worrying about being disturbed by others, and enjoy watching movies and listening to music more happily."",""[ Small Appearance and Simple Installation ] This Apple AirPods Pro ear tip is relatively small and cute, and there is a storage box to place it. The snap-on design is simple and easy to understand. Just snap it into the headset for easy installation."",""[ Specifications and After Sales ] You will get 3 pairs of ear tips from us, you can choose the size you like, if you have any questions feel free to contact us, we are always there.""]",No Info available,0,False,,0.0,0.31120853168954954
2024-04-01 00:00:00.000,"Bio-Oil Skincare Body Oil (Natural) Serum for Scars and Stretchmarks, Face and Body Moisturizer Hydrates Skin, with Organic Jojoba Oil and Vitamin E, For All Skin Types, 6.7 oz",Bio-Oil,"Give your skin a break while stuck inside! It's the perfect time to care for your skin with Bio-Oil Natural Skincare Oil. Made for all skin types, this paraben and mineral oil-free body and face oil for dry skin is carefully formulated with all natural ingredients to hydrate dry, damaged skin while healing scars, stretch marks, and uneven skin tone. This all natural brightening serum contains no added or artificial fragrance, so you can feel safe about what you're putting on your skin. Bio-Oil Natural Skincare Oil is designed to help improve the appearance of stretch marks, scars, and other marks due to surgery, injury, acne, aging, pregnancy, and more — with completely natural ingredients. Not only does this unique, clean beauty formula help heal old scars — it also work preventatively, with organic jojoba oil and rosehip oil to help tired, dull skin retain moisture for a softer, brighter complexion and dry skin relief. It also features chia seed oil and pomegranate seed oil to help protect your skin. This facial skin care product has a fast-absorbing, non-comedogenic formula that won't clog pores or irritate sensitive skin, making it a perfect all natural face moisturizer for women. Made out of all natural, plant-based ingredients and essential oils, this product is non-irritating and safe for sensitive skin. The toxicological profile, chemical structure, level of inclusion and total level of daily exposure of each ingredient used has been assessed in clinical trials and deemed safe for use (including for use by pregnant women). Not only is this a facial moisturizer — Bio-Oil can be used in many ways, including as a beard oil, cuticle oil, hair oil, scalp oil, face oil, lip oil, and nail oil. Bio-Oil's deeply moisturizing properties make it a great hair oil for dry and damaged hair for women with all hair types. Bio-Oil is proudly distributed in the USA by Kao USA, Inc. Satisfaction Guaranteed. Limitations may apply.",3403,2163,INR,In Stock,6095,"['Beauty & Personal Care', 'Skin Care', 'Face', 'Creams & Moisturizers', 'Face Oil']",B08XMPKJ1L,1.0,2871.0,0,https://www.amazon.com/Bio-Oil-Skincare-Stretchmarks-Moisturizer-Sunflower/dp/B08XMPKJ1L?th=1&psc=1&currency=USD&language=en_GB,https://m.media-amazon.com/images/I/41PBEKES5NL._SX300_SY300_QL70_FMwebp_.jpg,No Info available,4.6,1.93 x 2.01 x 6.89 inches; 6.7 ounces,ATVPDKIKX0DER,14,29116,Kao USA Inc.,Beauty & Personal Care,True,Using this for scars post surgery and have already seen results within 2 weeks. The oil seeps into my skin and I don't feel it throughout the day once I let it dry before putting clothes on. I find I like it best after I hop out of the shower and I am a bit damp.,"[""HELPS IMPROVES APPEARANCE OF SCARS AND STRETCH MARKS - Dermatologist recommended and clinically proven for scars, stretch marks, uneven skin tone and so much more"",""PACKED WITH POWERFUL NATURAL OILS - Packed with powerful plant oils and skin loving ingredients, like rosehip oil, lavender oil, chamomile oil, and patchouli oil"",""100% ALL NATURAL INGREDIENTS - Safe for all skin types, this oil contains no added fragrance, dyes, additives or chemicals"",""PLANET & ANIMAL FRIENDLY — Vegan friendly, paraben free, cruelty free, non-comedogenic, and 100% recyclable"",""FORMULATED FOR ALL SKIN TYPES - Helps soften skin for all types, tones, textures and safe for use on face and body and won't clog pores""]",See packaging for ingredient details,1000,True,,36.43843667352336,0.6876474192613145
2023-10-14 00:00:00.000,"crysting 13 Inch Sewing Box Three Layers, Plastic Craft Organizers and Storage, Multifunction Craft Box/Organizer Box/First Aid Box/Medicine Box/Tool Organizers and Storage with Lids",crysting,"About this item 🌟 High Quality Sewing Box 🌟 Made from food grade plastic, this crafts tool box is lightweight, dust proof, moisture proof and durable. 🌟 Multifunction Box Organizer 🌟 Not only it is a tool organizers, but also a craft box, sewing organizer box, first aid box, medicine box and tackle box organizer. 🌟 Portable Storage Box 🌟 13.2*7.2*6.7 inches, three layers, with 1 big grid and 6 small grids. Clear plastic material help you to find items easily and quickly. 🌟 Perfect Craft Box 🌟 Folding three layers design, you can sort items quickly and solve the problem of messy items, just make a clean and tidy space for you. 🌟 Nice Gift 🌟 This multipurpose storage box will be a great gift. Sewing organizer box, tackle box organizer, art supplies storage box, it can be given to anyone! › See more product details",1993,1820,INR,In Stock,210,"['Arts, Crafts & Sewing', 'Organization, Storage & Transport', 'Storage Boxes & Organizers']",B0B8CP57MN,1.0,29273.0,0,https://www.amazon.com/Plastic-Organizers-Multifunction-Organizer-Medicine/dp/B09B3MN6BF,https://m.media-amazon.com/images/I/61MDm2rPNpL.__AC_SX300_SY300_QL70_FMwebp_.jpg,0.907 kg,4.6,"13.2""L x 7.2""W x 6.7""H",ASER3BNGLPVEW,9,Organizer Box Blue,Crysting,"Arts, Crafts & Sewing",False,"I was looking for a box to store my hair products for my daughter in! I use it for rubber bands, and hair bow and beads","[""🌟 High Quality Sewing Box 🌟 Made from food grade plastic, this crafts tool box is lightweight, dust proof, moisture proof and durable."",""🌟 Multifunction Box Organizer 🌟 Not only it is a tool organizers, but also a craft box, sewing organizer box, first aid box, medicine box and tackle box organizer."",""🌟 Portable Storage Box 🌟 13.2*7.2*6.7 inches, three layers, with 1 big grid and 6 small grids. Clear plastic material help you to find items easily and quickly."",""🌟 Perfect Craft Box 🌟 Folding three layers design, you can sort items quickly and solve the problem of messy items, just make a clean and tidy space for you."",""🌟 Nice Gift 🌟 This multipurpose storage box will be a great gift. Sewing organizer box, tackle box organizer, art supplies storage box, it can be given to anyone!""]",No Info available,0,False,,8.680381334671349,0.4222636321668259
2023-09-11 00:00:00.000,"Ridgid 62990 T-201 5"" Straight Auger",RIDGID,"The product is 62990 AUGER, T201 STRAIGHT 5/8 CABLE",2374,2201,INR,Only 5 left in stock - order soon,28,"['Tools & Home Improvement', 'Power & Hand Tools', 'Power Tool Parts & Accessories', 'Power Drill Parts & Accessories', 'Drill Bits', 'Auger Drill Bits']",B001HWGJAK,17.0,483104.0,0,https://www.amazon.com/Ridgid-62990-T-201-5-Inch-Straight/dp/B001HWGJAK,https://m.media-amazon.com/images/I/61vEdS0dnnL.__AC_SX300_SY300_QL70_FMwebp_.jpg,0.095 kg,4.4,6.5 x 1 x 1 inches,A2I9G61XDT1RQW,7,62990,Ridgid,Tools & Home Improvement,False,"I was hoping this was a little thinner in diameter. This auger did unclog my pipe but still couldn’t make it around the bend. However, with a little bit of effort, it seems to have worked. Time will tell.","[""Straight 5\"" (125 mm) Auger"",""For use in exploring and breaking up stoppages"",""Used to return samples to surface, in order to determine correct tool"",""5\"" in Length and 1/4 lbs."",""This Long Tool Fits C-4, C-6. C-7, C-8, C-9"",""C-31, C-32, C-33, C-31 IW, C-32 IW, C-33 IW, C-44 IW, C-45 IW""]",No Info available,0,False,,7.2872788542544225,0.2541295712088216
2023-08-09 00:00:00.000,Core 10 Women's All Day Comfort High-Waist Side-Pocket Yoga Legging,Core 10,"Empowering women to reach their full potential is at the heart of what we do. Because when you’re wearing Core 10, you’re ready to experience more. Be more. Live more.",2463,2074,INR,Only 1 left in stock - order soon,1538,"['Clothing, Shoes & Jewelry', 'Women', 'Clothing', 'Active', 'Leggings']",B07PGY6STR,1.0,6499.0,0,https://www.amazon.com/Core-10-Comfort-High-Waist-Side-Pocket/dp/B07PJ2VFNS,https://m.media-amazon.com/images/I/718wu1ulePS._AC_UY500_.jpg,No Info available,4.4,1 x 1 x 1 inches; 8 Ounces,ATVPDKIKX0DER,16,C101909758,Core 10,"Clothing, Shoes & Jewelry",False,"Well made, fabric works wonders!",No Info available,No Info available,0,False,,15.793747462444173,0.5538653533180883
2023-09-10 00:00:00.000,"Trucker Bluetooth Headsets, Wireless Headset with AI Environmental Noise Cancelling & Mute Microphone, Up to 30H Talk Time, 164ft Wireless Range, Bluetooth Over Ear Headphones for PC, Computer, Skype",EKSA,"About this item 【Industry Leading AI-Powered Environmental Noise Cancellation】EKSAtelecom cutting-edge AI-Powered ENC tech can dynamically detect and nullifies up to 99.8% ambient noise with a broad sound frequency range, and cancels it out before reaching your ears to get crystal-clear communication! 【164 ft Ultra-Long Wireless Connection】This truck driver bluetooth headset with a noise-cancelling microphone features an ultra-long wireless operating range of up to 99 ft / 30 m away for better connectivity, faster transmission, and better stability. (Note: Wireless connection distance can reach even longer distances of 50 m / 164 ft, provided there are no obstacles.) 【Support 57 Hours Work Time & Mute Function】With a large 500mAh battery, It supports up to 30 hours of talk time and 57 hours of continuous music time, and it charges fully in just 1.5 hours. And you can monitor the battery level in your truck headset through your phone. And this wireless bluetooth headset with the mute function, you can click the mute button to toggle on and off the microphone during the call(only for phone calls). 【Wide Compatibility via Bluetooth 5.0 & USB Dongle】The latest Bluetooth tech and powerful built-in Qualcomm Chip of Bluetooth phone headsets ensure a lightning-fast and ultra-stable connection. Just simply with a USB dongle (included!), no extra hassle to connect this EKSAtelecom trucker bluetooth headset to your desired Bluetooth devices & PC or laptop. 【EKSAtelecom CloudSoft Ear Cushions & 24-Month Support】Slip into over-the-ear comfort with soft, breathable, and gentle CloudSoft Ear Cushions. This ergonomic design of trucker headset keeps pressure off your head, preventing soreness or fatigue over time. You can relax in comfort and stay fully productive all day when you use our bluetooth headset with microphone. If you encounter any problems, please kindly contact our professional customer service team.",7804,7371,INR,In Stock,2232,"['Electronics', 'Headphones, Earbuds & Accessories', 'Headphones & Earbuds', 'On-Ear Headphones']",B0BK8QY1JB,1.0,81878.0,0,https://www.amazon.com/Bluetooth-Environmental-Cancelling-Microphone-Headphones/dp/B0BK8QY1JB,https://m.media-amazon.com/images/I/71AN83r4VmL.__AC_SX300_SY300_QL70_FMwebp_.jpg,0.472 kg,4.1,7.32 x 6.93 x 2.87 inches,A1TDAPB7TACUL0,6,H1,EKSA,Electronics,True,"The Bluetooth headset that I tested is a good product overall, but I must say it is not the best for driving. When I used it inside an office, people told me that it sounded great and had no issues. I even tested it with background noise from a TV, and it successfully canceled out the noise. However, the real problem arose when I took it on the road with the window down. The headset completely lost signal or people would say it sounded like I was underwater.I believe it wouldn't be a great choice for truckers, as it may not provide the best performance in that environment. For normal use, particularly in an office setting, it should be just fine. The size of the headset is somewhat large, which I personally like. It also has the ability to expand to fit your head size. However, I did notice that even without expanding it, it fit well on my slightly larger head. People with smaller heads might have some difficulty fitting it comfortably.In conclusion, I recommend this Bluetooth headset for office use, but it may not be ideal for driving, especially with windows down. It offers good sound quality and effective noise cancellation, but the size and potential fit issues might be a concern for some individuals.","[""【Industry Leading AI-Powered Environmental Noise Cancellation】EKSAtelecom cutting-edge AI-Powered ENC tech can dynamically detect and nullifies up to 99.8% ambient noise with a broad sound frequency range, and cancels it out before reaching your ears to get crystal-clear communication!"",""【164 ft Ultra-Long Wireless Connection】This truck driver bluetooth headset with a noise-cancelling microphone features an ultra-long wireless operating range of up to 99 ft / 30 m away for better connectivity, faster transmission, and better stability. (Note Wireless connection distance can reach even longer distances of 50 m / 164 ft, provided there are no obstacles.)"",""【Support 57 Hours Work Time & Mute Function】With a large 500mAh battery, It supports up to 30 hours of talk time and 57 hours of continuous music time, and it charges fully in just 1.5 hours. And you can monitor the battery level in your truck headset through your phone. And this wireless bluetooth headset with the mute function, you can click the mute button to toggle on and off the microphone during the call(only for phone calls)."",""【Wide Compatibility via Bluetooth 5.0 & USB Dongle】The latest Bluetooth tech and powerful built-in Qualcomm Chip of Bluetooth phone headsets ensure a lightning-fast and ultra-stable connection. Just simply with a USB dongle (included!), no extra hassle to connect this EKSAtelecom trucker bluetooth headset to your desired Bluetooth devices & PC or laptop."",""【EKSAtelecom CloudSoft Ear Cushions & 24-Month Support】Slip into over-the-ear comfort with soft, breathable, and gentle CloudSoft Ear Cushions. This ergonomic design of trucker headset keeps pressure off your head, preventing soreness or fatigue over time. You can relax in comfort and stay fully productive all day when you use our bluetooth headset with microphone. If you encounter any problems, please kindly contact our professional customer service team.""]",No Info available,0,False,,5.548436699128652,0.5422774149991945
2024-01-15 00:00:00.000,"LOOGU Desert Netting Scarf Tactical Miliary Camo Mesh Scarves for Men and Women Wraps ideal for Wargame, Sports & Other Outdoor Activities",LOOGU,"LOOGU was founded in 2012 which focus on outdoor, hunting, army, camouflage, sporting goods,and other industries,Our main products are camouflage netting,ghillie suit,rain poncho,camo scarf,camo accessries,tarp,etc. We have specialized in textile fabrics for many years and continuously strive to improve our product design to provide competitive, cost-effective products and services. Thanks for your time and interest, please let us know if we can be of further assistance. Product Details       High Quality Production The camouflage mesh scarf is made of knit workmanship, which is more excellent than other sellers that made of drilling on whole cloth. Edge Workmanship Each camouflage mesh scarf is covered with a edging process so that the threads do not spread out. Two side of the edges are locked by a knitting process. Perfect for All Climate Main Use: Camouflage, resist cold and keep warm, defense sand, Anti-mosquito. The size is super large, it can be covered on the head after unfolding, can be used for tactical camouflage, does not obstruct the line of sight.   Product Real Show   Usage and Scene   NOTIES Please note that we ship from United Kingdom and China.For orders that you receive from China, customs or import fees may be due from a certain value. You can find more information on the ""Help pages"".",1623,1298,INR,In stock,900,"['Women', 'Accessories', 'Scarves & Wraps']",B00LMTKUU8,1.0,30663.0,0,https://www.amazon.co.uk/LOOGU-Camouflage-Tactical-Camo-Activities/dp/B00LMTKUU8?th=1&psc=1&currency=USD&language=en_GB,https://m.media-amazon.com/images/I/61IUzxKSEAL.__AC_SX300_SY300_QL70_ML2_.jpg,0.000 kg,4.6,23.11 x 14.99 x 4.32 cm; 45.36 Grams,A335GI7462P31I,20,W-1,LOOGU,Women,True,Perfect for my needs,"[""Made of cotton mesh netting"",""Dimensions 76\"" x 36\"" (L x W)"",""Classic Look & Cool Design"",""Multifunction can be used as sniper veil, neck scarf or hand towl"",""Perfect for wargames & other outdoor activities""]",No Info available,0,False,,20.02464571780653,0.5367991396434576
