department,top_5_asins
883 Police Full Sleeve Solid Men's Jacket,['JCKEG4AKNM3HP3MG']
"ABEEZ Boys, Men, Girls (Black, Pack of 1)",['WTBEJZNYZESBJZRT']
ANAND ARCHIES Girls Flats,"['SNDEG6GXHRGGGFYB', 'SNDEG6GXKQNZTSKK']"
ANAND ARCHIES Girls Wedges,['SNDEG6GXFS5RYFGK']
ANASAZI Casual 3/4 Sleeve Solid Women's Top,['TOPEHZNT48HMRU59']
ATV Pouch for Acer Liquid Z330 (STEEL BLUE),['ACCEJMAZVTQYQMQJ']
Abhinl Fashion Cotton Printed Semi-stitched Salw...,['FABEG7D8SFXTJCUD']
"Adidas IND PRO THI GUA Thigh Guard (White, Blue,...",['GUAEJGQCH9BNFH2J']
Ajaero Slim Fit Women's Dark Blue Jeans,"['JEAEGHQYYGDYDBWY', 'JEAEGF5GNHT4TNMJ']"
Amita Home Furnishing Cotton Floral Single Bedsh...,['BDSEGCYH6DKCNCMZ']
Amita Home Furnishing Cotton Printed Single Beds...,['BDSEGCYH59Z8HXRR']
Anuradha Art Stylish Hair Clip (Black),['HACEGGERAPW67KFW']
Anuradha Art Stylish Hair Clip (Blue),['HACEGGERPZDHNCFS']
"Areon Luxurious Fragrance Long Lasting Car,Home,...",['AIREHRXSYBMXKB4X']
Arial Morris Women Flats,['SNDEHZKDYYWENBBB']
Asics Gel-Cumulus 17 Running Shoes,['SHOEHEP5EWSGZ7XA']
Asics Gel-Kayano 22 Running Shoes,['SHOEHEP5H5XGFZJY']
Attitude Printed Women's Round Neck Black T-Shirt,['TSHEGHHU6C28JJUH']
"Auraa Men's, Women's Solid No Show Socks",['SOCEGGZ8MHX79YGA']
AutoKraftZ Optimum Locking Device For Bajaj Puls...,['HLKEGF6PTASUPHYY']
Automation & Robotics,['SLOEBHYNHETSRBXN']
Automotive,"['CWRE84EDSKFE8KF5', 'CWRE4ZUHAEQGSMGH', 'CRTEB774SCZXFHBY', 'ACCEF2TH2YRDRZCR', 'CCVEG4ENZJCWD3C6']"
Autoplus M AP15 Arm Sleeve (Black),['ALSEHDQCNCHTUGXT']
Autoplus M AP18 Arm Sleeve (Black),['ALSEHDQUJHGT2EZ5']
BALAJI EXPORTS Bottled Wine Cooler (9 Bottles),['WCREH9GEPFAZVUK4']
BLM Casual Printed Women's Kurti,['KRTEGDXWXAD3N4B9']
